,id,organization_id,url,age,gender,size,coat,tags,name,organization_animal_id,status,status_changed_at,published_at,delta_time,primary_breed,secondary_breed,is_mixed,is_unknown,compatible_children,compatible_dogs,compatible_cats,spayed_neutered,house_trained,special_needs,shots_current,primary_color,secondary_color,tertiary_color
0,59313263,CA2713,https://www.petfinder.com/dog/billy-59313263/ca/rowland-heights/vida-rescue-ca2713/?referrer_id=b119d1f7-1a08-441e-b63e-912dd36808fe&utm_source=api&utm_medium=partnership&utm_content=b119d1f7-1a08-441e-b63e-912dd36808fe,Adult,Male,Small,Short,"['Friendly', 'Affectionate', 'Funny', 'Couch potato', 'Loves kisses']",BILLY,,adopted,2023-02-13 20:13:37+00:00,2022-12-31 23:59:47+00:00,43 days 20:13:50,Chihuahua,Papillon,True,False,True,True,True,True,True,False,True,Yellow / Tan / Blond / Fawn,,
1,59313260,IL54,https://www.petfinder.com/dog/ula-59313260/il/grayslake/save-a-pet-il54/?referrer_id=b119d1f7-1a08-441e-b63e-912dd36808fe&utm_source=api&utm_medium=partnership&utm_content=b119d1f7-1a08-441e-b63e-912dd36808fe,Adult,Female,Medium,Short,[],Ula,,adopted,2023-05-21 16:54:07+00:00,2022-12-31 23:58:50+00:00,140 days 16:55:17,Coonhound,,True,False,,,,True,False,False,True,,,
2,59313253,FL532,https://www.petfinder.com/dog/jake-59313253/fl/palm-bay/mid-florida-sheltie-rescue-fl532/?referrer_id=b119d1f7-1a08-441e-b63e-912dd36808fe&utm_source=api&utm_medium=partnership&utm_content=b119d1f7-1a08-441e-b63e-912dd36808fe,Young,Male,Medium,Medium,"['Brave', 'Athletic', 'Funny', 'Smart', 'Loyal']",Jake,,adopted,2023-02-21 12:09:35+00:00,2022-12-31 23:56:33+00:00,51 days 12:13:02,Shetland Sheepdog / Sheltie,,False,False,False,True,True,True,True,False,True,Merle (Blue),,
3,59313248,CA2813,https://www.petfinder.com/dog/marshmallow-59313248/ca/riverside/underdog-heroes-ca2813/?referrer_id=b119d1f7-1a08-441e-b63e-912dd36808fe&utm_source=api&utm_medium=partnership&utm_content=b119d1f7-1a08-441e-b63e-912dd36808fe,Young,Male,Large,Short,[],Marshmallow,,adopted,2023-04-09 20:51:03+00:00,2022-12-31 23:55:12+00:00,98 days 20:55:51,Pit Bull Terrier,American Bulldog,True,False,,True,,True,True,True,True,White / Cream,,
4,59313245,TX258,https://www.petfinder.com/dog/riley-loves-everyone-and-learns-quickly-59313245/tx/league-city/second-chance-pets-tx258/?referrer_id=b119d1f7-1a08-441e-b63e-912dd36808fe&utm_source=api&utm_medium=partnership&utm_content=b119d1f7-1a08-441e-b63e-912dd36808fe,Young,Female,Large,Short,"['Smart', 'Playful', 'Gentle', 'Loyal', 'Affectionate', 'Friendly', 'Brave', 'Curious', 'Couch potato', 'Loves kisses', 'Funny', 'Athletic', 'Independent', 'Quiet']",Riley- Loves Everyone and Learns Quickly!,,adopted,2023-09-02 22:33:06+00:00,2022-12-31 23:53:40+00:00,244 days 22:39:26,Mountain Cur,Boxer,True,False,True,True,,True,True,False,True,Brindle,,
5,59313215,MI65,https://www.petfinder.com/dog/hali-59313215/mi/oxford/k-9-stray-rescue-league-mi65/?referrer_id=b119d1f7-1a08-441e-b63e-912dd36808fe&utm_source=api&utm_medium=partnership&utm_content=b119d1f7-1a08-441e-b63e-912dd36808fe,Senior,Female,Small,,[],Hali,,adopted,2023-01-03 00:20:12+00:00,2022-12-31 23:49:03+00:00,2 days 00:31:09,Chihuahua,,True,False,,True,,True,False,False,True,,,
6,59298149,WI320,https://www.petfinder.com/dog/kline-59298149/wi/union-grove/tiny-paws-small-dog-rescue-wi320/?referrer_id=b119d1f7-1a08-441e-b63e-912dd36808fe&utm_source=api&utm_medium=partnership&utm_content=b119d1f7-1a08-441e-b63e-912dd36808fe,Baby,Male,Small,,['Brave'],Kline,,adopted,2023-01-09 11:11:33+00:00,2022-12-31 23:48:14+00:00,8 days 11:23:19,Miniature Pinscher,,False,False,,,,False,False,False,False,Black,Golden,White / Cream
7,59313226,CA362,https://www.petfinder.com/dog/lofer-59313226/ca/san-andreas/calaveras-county-animal-services-ca362/?referrer_id=b119d1f7-1a08-441e-b63e-912dd36808fe&utm_source=api&utm_medium=partnership&utm_content=b119d1f7-1a08-441e-b63e-912dd36808fe,Young,Male,Medium,Short,[],Lofer,,adopted,2023-02-10 01:39:18+00:00,2022-12-31 23:44:49+00:00,40 days 01:54:29,Mastiff,,False,False,,True,,True,True,False,True,,,
8,59313221,MN495,https://www.petfinder.com/dog/millie-59313221/mn/minneapolis/the-rescue-pack-mn495/?referrer_id=b119d1f7-1a08-441e-b63e-912dd36808fe&utm_source=api&utm_medium=partnership&utm_content=b119d1f7-1a08-441e-b63e-912dd36808fe,Baby,Female,Medium,,"['Friendly', 'Affectionate', 'Playful', 'Gentle']",MILLIE,,adopted,2022-12-31 23:43:14+00:00,2022-12-31 23:41:48+00:00,0 days 00:01:26,Australian Shepherd,,False,False,True,True,True,False,False,False,True,"Tricolor (Brown, Black, & White)",,
9,59313188,MN495,https://www.petfinder.com/dog/maddie-59313188/mn/minneapolis/the-rescue-pack-mn495/?referrer_id=b119d1f7-1a08-441e-b63e-912dd36808fe&utm_source=api&utm_medium=partnership&utm_content=b119d1f7-1a08-441e-b63e-912dd36808fe,Baby,Female,Medium,,"['Friendly', 'Affectionate', 'Playful', 'Gentle']",MADDIE,,adopted,2022-12-31 23:43:47+00:00,2022-12-31 23:39:59+00:00,0 days 00:03:48,Australian Shepherd,,False,False,True,True,True,False,False,False,True,"Tricolor (Brown, Black, & White)",,
